1,2025-02-10 11:12:10.450000,2025-02-10 11:12:10.450000,2025-02-10 11:17:10.450000,Ukončené,Vysoká,Bratislava,1,1
2,2025-02-10 11:12:11.263000,2025-02-10 11:12:11.263000,2025-02-10 11:15:11.263000,Ukončené,Stredná,Kosice,2,2
3,2025-02-10 11:12:11.950000,2025-02-10 11:12:11.950000,2025-02-10 11:16:11.950000,Ukončené,Nízka,Zilina,3,3
1288,2024-05-01 12:12:00.000000,2024-05-01 12:12:15.000000,2024-05-01 12:15:32.000000,Volajúci ukončil hovor,Stredná,Nitra 12,26,2966
1289,2024-05-28 16:30:00.000000,2024-05-28 16:30:03.000000,2024-05-28 16:36:33.000000,Dispečer ukončil hovor,Nízka,Kosice 12,17,1572
1290,2024-10-26 16:00:00.000000,2024-10-26 16:00:05.000000,2024-10-26 16:03:22.000000,Volajúci ukončil hovor,Vysoká,Levoca,14,860
1291,2024-02-14 11:19:00.000000,2024-02-14 11:19:11.000000,2024-02-14 11:28:26.000000,Dispečer ukončil hovor,Stredná,Kaluza,8,2799
1292,2024-03-23 11:53:00.000000,2024-03-23 11:53:09.000000,2024-03-23 11:58:17.000000,Volajúci ukončil hovor,Stredná,Neslusa,20,2046
1293,2024-11-22 13:49:00.000000,2024-11-22 13:49:15.000000,2024-11-22 13:56:14.000000,Dispečer ukončil hovor,Stredná,Praha 2,64,1048
1294,2024-06-21 10:12:00.000000,2024-06-21 10:12:05.000000,2024-06-21 10:14:54.000000,Volajúci ukončil hovor,Vysoká,Malinova,17,2869
1295,2024-05-05 16:09:00.000000,2024-05-05 16:09:03.000000,2024-05-05 16:11:44.000000,Dispečer ukončil hovor,Stredná,Cakanovce,81,1946
1296,2024-09-21 10:40:00.000000,2024-09-21 10:40:14.000000,2024-09-21 10:42:50.000000,Dispečer ukončil hovor,Vysoká,Nove Zamky,10,1232
1297,2024-02-24 18:02:00.000000,2024-02-24 18:02:06.000000,2024-02-24 18:10:12.000000,Dispečer ukončil hovor,Vysoká,Presov 5,90,2956
1298,2024-04-23 13:22:00.000000,2024-04-23 13:22:14.000000,2024-04-23 13:29:11.000000,Dispečer ukončil hovor,Stredná,Bratislava III.,81,1068
1299,2024-05-11 17:08:00.000000,2024-05-11 17:08:03.000000,2024-05-11 17:12:10.000000,Dispečer ukončil hovor,Vysoká,Kanianka,93,474
1300,2024-06-26 18:11:00.000000,2024-06-26 18:11:08.000000,2024-06-26 18:12:14.000000,Volajúci ukončil hovor,Stredná,Vycapy - Opatovce,27,1266
1301,2025-01-30 09:01:00.000000,2025-01-30 09:01:06.000000,2025-01-30 09:06:41.000000,Dispečer ukončil hovor,Stredná,Bucany,3,362
1302,2024-02-17 17:07:00.000000,2024-02-17 17:07:11.000000,2024-02-17 17:12:17.000000,Volajúci ukončil hovor,Vysoká,Bratislava,37,2327
1303,2024-12-01 11:49:00.000000,2024-12-01 11:49:13.000000,2024-12-01 11:59:13.000000,Dispečer ukončil hovor,Stredná,Ziar nad Hronom,24,350
1304,2025-01-31 19:24:00.000000,2025-01-31 19:24:07.000000,2025-01-31 19:24:55.000000,Dispečer ukončil hovor,Vysoká,Pata,55,2057
1305,2024-05-12 09:46:00.000000,2024-05-12 09:46:14.000000,2024-05-12 09:47:26.000000,Volajúci ukončil hovor,Vysoká,Hradok nad Vahom,45,1889
1306,2024-12-08 16:56:00.000000,2024-12-08 16:56:06.000000,2024-12-08 16:57:22.000000,Volajúci ukončil hovor,Stredná,Cakanovce,6,702
1307,2024-05-14 13:40:00.000000,2024-05-14 13:40:14.000000,2024-05-14 13:43:43.000000,Dispečer ukončil hovor,Nízka,Bela nad Cirochou,75,313
1308,2024-04-26 10:42:00.000000,2024-04-26 10:42:12.000000,2024-04-26 10:42:47.000000,Volajúci ukončil hovor,Vysoká,Valasske Mezirici,95,2988
1309,2024-10-01 12:57:00.000000,2024-10-01 12:57:03.000000,2024-10-01 12:58:45.000000,Dispečer ukončil hovor,Stredná,Dobra Niva,24,2573
1310,2024-08-24 09:10:00.000000,2024-08-24 09:10:12.000000,2024-08-24 09:17:52.000000,Volajúci ukončil hovor,Nízka,Ostrovany,26,1034
1311,2024-07-18 18:17:00.000000,2024-07-18 18:17:05.000000,2024-07-18 18:18:17.000000,Volajúci ukončil hovor,Žiadna,Valasske Mezirici,92,22
1312,2024-12-08 18:56:00.000000,2024-12-08 18:56:14.000000,2024-12-08 18:59:19.000000,Volajúci ukončil hovor,Vysoká,Mernik,9,2625
1313,2024-12-06 18:17:00.000000,2024-12-06 18:17:07.000000,2024-12-06 18:18:20.000000,Volajúci ukončil hovor,Nízka,Kremnicke Bane,13,1472
1314,2024-12-31 17:43:00.000000,2024-12-31 17:43:08.000000,2024-12-31 17:49:51.000000,Dispečer ukončil hovor,Stredná,Skalica,26,1269
1315,2024-09-26 09:24:00.000000,2024-09-26 09:24:13.000000,2024-09-26 09:33:05.000000,Dispečer ukončil hovor,Vysoká,Hradek ve Slezsku,64,2191
1316,2024-02-25 17:44:00.000000,2024-02-25 17:44:06.000000,2024-02-25 17:51:56.000000,Volajúci ukončil hovor,Nízka,Knezeves,91,2380
1317,2024-02-15 11:17:00.000000,2024-02-15 11:17:06.000000,2024-02-15 11:25:32.000000,Dispečer ukončil hovor,Stredná,Podbrezova,65,960
1318,2024-09-11 16:26:00.000000,2024-09-11 16:26:11.000000,2024-09-11 16:33:48.000000,Volajúci ukončil hovor,Stredná,Volary,54,2253
1319,2024-08-14 08:57:00.000000,2024-08-14 08:57:03.000000,2024-08-14 09:02:32.000000,Dispečer ukončil hovor,Stredná,Valaska Dubova,29,254
1320,2024-05-18 12:41:00.000000,2024-05-18 12:41:15.000000,2024-05-18 12:45:45.000000,Volajúci ukončil hovor,Vysoká,Spissky Stiavnik,31,2518
1321,2024-10-05 17:27:00.000000,2024-10-05 17:27:14.000000,2024-10-05 17:36:46.000000,Volajúci ukončil hovor,Stredná,Podolinec,86,414
1322,2024-08-22 16:25:00.000000,2024-08-22 16:25:08.000000,2024-08-22 16:26:49.000000,Volajúci ukončil hovor,Stredná,Ostrava,48,1540
1323,2024-05-05 15:29:00.000000,2024-05-05 15:29:15.000000,2024-05-05 15:37:21.000000,Volajúci ukončil hovor,Nízka,Trencin 5,65,541
1324,2024-12-08 18:08:00.000000,2024-12-08 18:08:03.000000,2024-12-08 18:16:33.000000,Dispečer ukončil hovor,Žiadna,Pichne,18,1549
1325,2024-12-18 14:05:00.000000,2024-12-18 14:05:09.000000,2024-12-18 14:14:48.000000,Dispečer ukončil hovor,Nízka,Bitarova-Zavodie,95,377
1326,2025-01-12 19:11:00.000000,2025-01-12 19:11:06.000000,2025-01-12 19:17:34.000000,Volajúci ukončil hovor,Nízka,Zemberovce,92,523
1327,2024-11-02 19:45:00.000000,2024-11-02 19:45:05.000000,2024-11-02 19:53:32.000000,Volajúci ukončil hovor,Nízka,Mernik,87,2758
1328,2024-02-23 14:52:00.000000,2024-02-23 14:52:11.000000,2024-02-23 15:01:15.000000,Volajúci ukončil hovor,Stredná,Bratislava,35,2531
1329,2024-03-12 13:18:00.000000,2024-03-12 13:18:05.000000,2024-03-12 13:22:25.000000,Volajúci ukončil hovor,Stredná,Bystricka,81,2350
1330,2024-04-21 12:06:00.000000,2024-04-21 12:06:10.000000,2024-04-21 12:12:14.000000,Volajúci ukončil hovor,Stredná,Petrovice,21,416
1331,2025-01-29 18:59:00.000000,2025-01-29 18:59:09.000000,2025-01-29 19:03:43.000000,Volajúci ukončil hovor,Stredná,Hnusta,2,2629
1332,2024-04-29 11:15:00.000000,2024-04-29 11:15:06.000000,2024-04-29 11:18:26.000000,Volajúci ukončil hovor,Stredná,Nachod,37,2245
1333,2025-01-15 18:49:00.000000,2025-01-15 18:49:10.000000,2025-01-15 18:55:10.000000,Volajúci ukončil hovor,Nízka,Ostratice,25,960
1334,2025-01-03 12:56:00.000000,2025-01-03 12:56:15.000000,2025-01-03 12:58:32.000000,Dispečer ukončil hovor,Stredná,Krompachy,60,1608
1335,2024-10-11 19:09:00.000000,2024-10-11 19:09:04.000000,2024-10-11 19:18:10.000000,Volajúci ukončil hovor,Vysoká,Dobsina,42,1578
1336,2024-10-31 17:22:00.000000,2024-10-31 17:22:06.000000,2024-10-31 17:28:44.000000,Volajúci ukončil hovor,Nízka,Soporna,75,907
1337,2024-09-22 10:50:00.000000,2024-09-22 10:50:09.000000,2024-09-22 10:52:49.000000,"Chyba (strata signálu, vybitá batéria)",Stredná,Borsky Mikulas,3,918
1338,2024-11-22 13:07:00.000000,2024-11-22 13:07:02.000000,2024-11-22 13:14:17.000000,Volajúci ukončil hovor,Nízka,Secovce,51,1686
1339,2024-11-24 13:03:00.000000,2024-11-24 13:03:03.000000,2024-11-24 13:09:48.000000,Volajúci ukončil hovor,Nízka,Kralovany,69,1114
1340,2025-01-22 14:05:00.000000,2025-01-22 14:05:14.000000,2025-01-22 14:08:33.000000,Volajúci ukončil hovor,Stredná,Nove Zamky,53,436
1341,2024-07-31 14:25:00.000000,2024-07-31 14:25:08.000000,2024-07-31 14:27:24.000000,"Chyba (strata signálu, vybitá batéria)",Nízka,Vechec,76,1910
1342,2024-12-14 18:06:00.000000,2024-12-14 18:06:03.000000,2024-12-14 18:11:25.000000,Volajúci ukončil hovor,Stredná,Dunajska Streda,100,1609
