1,"Cholera zapríčinená Vibrio cholerae 01, biovar cholerae",Infekčné a parazitové choroby
2,"Cholera zapríčinená Vibrio cholerae 01, biovar eltor",Infekčné a parazitové choroby
3,"Cholera, bližšie neurčená",Infekčné a parazitové choroby
4,Brušný týfus,Infekčné a parazitové choroby
5,Paratýfus A,Infekčné a parazitové choroby
6,Paratýfus B,Infekčné a parazitové choroby
7,Paratýfus C,Infekčné a parazitové choroby
8,"Paratýfus, bližšie neurčený",Infekčné a parazitové choroby
9,Salmonelová enteritída,Infekčné a parazitové choroby
10,Salmonelová sepsa,Infekčné a parazitové choroby
11,Lokalizovaná salmonelová infekcia,Infekčné a parazitové choroby
12,"Iná salmonelová infekcia, bližšie určená",Infekčné a parazitové choroby
13,"Salmonelová infekcia, bližšie neurčená",Infekčné a parazitové choroby
14,Šigelóza zapríčinená Shigella dysenteriae,Infekčné a parazitové choroby
15,Šigelóza zapríčinená Shigella flexneri,Infekčné a parazitové choroby
16,Šigelóza zapríčinená Shigella boydii,Infekčné a parazitové choroby
17,Šigelóza zapríčinená Shigella sonnei,Infekčné a parazitové choroby
18,Iná šigelóza,Infekčné a parazitové choroby
19,"Šigelóza, bližšie neurčená",Infekčné a parazitové choroby
20,Infekcia zapríčinená enteropatogénnou Escherichia coli,Infekčné a parazitové choroby
21,Infekcia zapríčinená enterotoxikogénnou Escherichia coli,Infekčné a parazitové choroby
22,Infekcia zapríčinená enteroinvazívnou Escherichia coli,Infekčné a parazitové choroby
23,Infekcia zapríčinená enterohemoragickou Escherichia coli,Infekčné a parazitové choroby
24,Iné črevné infekcie zapríčinené Escherichia coli,Infekčné a parazitové choroby
25,Enteritída zapríčinená kampylobakterom,Infekčné a parazitové choroby
26,Enteritída zapríčinená Yersinia enterocolitica,Infekčné a parazitové choroby
27,Enterokolitída zapríčinená Clostridium difficile,Infekčné a parazitové choroby
28,Enteritída zapríčinená Arcobacter spp.,Infekčné a parazitové choroby
29,"Iná baktériová črevná infekcia, bližšie určená",Infekčné a parazitové choroby
30,"Baktériová črevná infekcia, bližšie neurčená",Infekčné a parazitové choroby
31,Potravinová otrava zapríčinená stafylokokmi,Infekčné a parazitové choroby
32,Botulizmus,Infekčné a parazitové choroby
33,Potravinová otrava zapríčinená Clostridium perfringens (Clostridium welchii),Infekčné a parazitové choroby
34,Potravinová otrava zapríčinená Vibrio parahaemolyticus,Infekčné a parazitové choroby
35,Potravinová otrava zapríčinená Bacillus cereus,Infekčné a parazitové choroby
36,Iná bližšie určená baktériová potravinová otrava,Infekčné a parazitové choroby
37,Bližšie neurčená baktériová potravinová otrava,Infekčné a parazitové choroby
