1,Obväz hydrofilný sterilný,"12cm x 5 m, á 10 ks",A1 Obväz hydrofilný,8.37
2,obväz hydrofilný sterilný,"10cm x 5 m, á 10 ks",A1 Obväz hydrofilný,2.86
3,obväz hydrofilný sterilný,"8 cm x 5 m, á 10 ks",A1 Obväz hydrofilný,4.34
4,obväz hydrofilný sterilný,"6 cm x 5 m, á 10 ks",A1 Obväz hydrofilný,2.55
5,"hydrofilný, nesterilný, pletený z bavlny","12cmx5 m, á 10 ks",A1 Obväz hydrofilný,8.33
6,hydrofilný nesterilný,"10cmx5m, á 10 ks",A1 Obväz hydrofilný,1.6
7,"7,5 x 15 cm, s hydrogélom","10cmx5 m, á 10 ks",A1 Obväz hydrofilný,1.9
8,hydrofilný nesterilný,"10cmx5 m, á 10 ks",A1 Obväz hydrofilný,8.81
9,Obväz fixačný Gekalast®,"10cmx4m, á 10 ks",A1 Obväz hydrofilný,10.86
10,Obväz fixačný Gekalast®,"12cmx4m, á 10 ks",A1 Obväz hydrofilný,1.77
11,hydrofilný nesterilný,"12cmx10 m, á 10 ks",A1 Obväz hydrofilný,14.88
12,Obväz elastický fixačný Peha-fix,"12cmx4 m, á 10 ks",A1 Obväz hydrofilný,9.77
13,hydrofilný nesterilný,"12cmx5 m, á 10 ks",A1 Obväz hydrofilný,6.2
14,Obväz elastický fixačný Peha-fix,"10cmx4m, á 10 ks",A1 Obväz hydrofilný,10.6
15,"hydrofilný, nesterilný, pletený z bavlny","20cmx10 m, á 10 ks",A1 Obväz hydrofilný,4.99
16,hydrofilný nesterilný,"14cmx5 m, á 10 ks",A1 Obväz hydrofilný,11.86
17,hydrofilný nesterilný,"20cmx10 m, á 10 ks",A1 Obväz hydrofilný,14.38
18,hydrofilný nesterilný,"14cmx10 m, á 10 ks",A1 Obväz hydrofilný,9.59
19,hydrofilný nesterilný,"16cmx10 m, á 10 ks",A1 Obväz hydrofilný,4.63
20,hydrofilný nesterilný,"8cmx5 m , á 10 ks",A1 Obväz hydrofilný,11.35
21,hydrofilný nesterilný,"8cmx5 m, á 10 ks",A1 Obväz hydrofilný,10.59
22,Obväz fixačný Gekalast®,"8cmx4m, á 10 ks",A1 Obväz hydrofilný,3.72
23,"hydrofilný, nesterilný, pletený z bavlny","8cmx5 m, á 10 ks",A1 Obväz hydrofilný,7.1
24,hydrofilný nesterilný,"8cmx10 m, á 10 ks",A1 Obväz hydrofilný,3.79
25,Obväz elastický fixačný Peha-fix,"8cmx4 m, á 10 ks",A1 Obväz hydrofilný,5.84
26,Ovínadlo hydrofilné pletené škrobené nesterilné,"6cmx5 m , á 10 ks",A1 Obväz hydrofilný,4.66
27,hydrofilný nesterilný,"6cmx5 m, á 10 ks",A1 Obväz hydrofilný,2.41
28,Obväz fixačný Gekalast®,"6cmx4m, á 10 ks",A1 Obväz hydrofilný,9.87
29,"hydrofilný, nesterilný,pletený","6cmx5 m, á 10 ks",A1 Obväz hydrofilný,10.39
30,Obväz elastický fixačný Peha-fix,"6cmx4 m, á 10 ks",A1 Obväz hydrofilný,2.06
31,Obväz elastický fixačný Peha-fix,"4cmx4 m, á 10 ks",A1 Obväz hydrofilný,1.96
32,"obväzová gáza hydrofilná, 17 vlákien",105cmx10 m,A2 Gáza hydrofilná,8.1
33,"obväzová gáza hydrofilná, 20 vlákien",105 cmx10 m,A2 Gáza hydrofilná,12.55
34,"gáza skladaná nesterilná, á 2 ks","90cm, á 100",A2 Gáza hydrofilná,1.48
35,"tampón stáčaný, nesterilný",100 ks,A3 Gázové skrútené tampóny,10.77
36,"tampón sterilný, napustený alkoholom",100 ks,A3 Gázové skrútené tampóny,7.95
37,"Vliwasoft - kompresy, sterilné, 6 vrstvové","5x5cm, á 2ks",A4 Gázové kompresy,14.31
38,"Vliwasoft - kompresy, sterilné, 6 vrstvové","7,5x7,5cm, á 2ks",A4 Gázové kompresy,1.74
39,"gázové kompresy, sterilné, 8 vrstvové","7,5x7,5 cm, á 2 ks",A4 Gázové kompresy,10.61
40,Medicomp Drain - kompresy sterilné,"7,5x7,5cm, á 2x 25 ks",A4 Gázové kompresy,6.7
41,"Medicomp kompresy, sterilné","7,5x7,5cm, á 2x 25 ks",A4 Gázové kompresy,3.04
42,Sterilux ES sterilný,"7,5x7,5cm, á 25 x 2 ks",A4 Gázové kompresy,2.55
43,"Gázové kompresy, sterilné, 8 vrstvové","5x5cm, á 2 ks",A4 Gázové kompresy,11.43
44,"Gáza hydrofilná, sterilná","7x5 cm, á 10 ks",A4 Gázové kompresy,7.22
45,"Medicomp kompresy, sterilné","5x5cm, á 2x 25 ks",A4 Gázové kompresy,8.14
46,Sterilux ES sterilný,"5x5 cm, á 25 x 2 ks",A4 Gázové kompresy,11.92
47,"Gáza hydrofilná, sterilná","9x5cm, á 10 ks",A4 Gázové kompresy,5.03
48,"Vliwasoft - kompresy, sterilné, 6 vrstvové","10x20cm, á 2ks",A4 Gázové kompresy,6.71
49,"Vliwasoft - kompresy, sterilné, 6 vrstvové","10x10cm, á 2ks",A4 Gázové kompresy,11.29
50,"Gázové kompresy, sterilné, 8 vrstvové","10x10cm, á 2 ks",A4 Gázové kompresy,9.64
51,"Medicomp kompresy, sterilné","10x10cm, á 2x 25 ks",A4 Gázové kompresy,7.33
52,"Vliwazell - kompresy, sterilné","20x20cm,á 1ks",A4 Gázové kompresy,11.82
53,Sterilux ES sterilný,"10x10cm, á 25 x 2 ks",A4 Gázové kompresy,9.42
54,"Vliwazell - kompresy, sterilné","10x20cm, á 1ks",A4 Gázové kompresy,13.58
55,Medicomp Drain - kompresy sterilné,"10x10cm, á 2x 25 ks",A4 Gázové kompresy,7.07
56,Zetuvit - savé kompresy sterilné,"10x10cm, á 25 ks",A4 Gázové kompresy,13.22
57,"Vliwazell, kompresa vlisovaná s absorpčnou schopnosťou","10x10 cm, á 1 ks",A4 Gázové kompresy,6.52
58,"Gáza hydrofilná, sterilná","10x5cm, á 5 ks",A4 Gázové kompresy,5.75
59,"Gazin, 8-vrstvový, nesterilný","5x5cm, á 100 ks",A4 Gázové kompresy,11.43
60,"Sterilux ES, 8-vrstvový, nesterilný","5x5cm, á 100 ks",A4 Gázové kompresy,3.71
61,Medicomp - kompresy nesterilné,"5x5cm, á 100 ks",A4 Gázové kompresy,2.66
62,gáza na rany nesterilná,"7,5x7,5 cm, á 100 ks",A4 Gázové kompresy,2.85
63,"Gazin, 8-vrstvový, nesterilný","7,5x7,5cm, á 100 ks",A4 Gázové kompresy,1.91
64,Medicomp - kompresy nesterilné,"7,5x7,5cm, á 100 ks",A4 Gázové kompresy,8.41
65,"Sterilux ES, 8-vrstvový, nesterilný","7,5x7,5 cm, á 100 ks",A4 Gázové kompresy,2.25
66,Zetuvit - savé kompresy nesterilné,"10x20cm, á 30 ks",A4 Gázové kompresy,10.65
67,Zetuvit - savé kompresy nesterilné,"10x10 cm, á 30 ks",A4 Gázové kompresy,2.72
68,gáza na rany nesterilná,"10x10 cm, á 100 ks",A4 Gázové kompresy,5.51
69,"Gazin, 8-vrstvový, nesterilný","10x10 cm, á 100 ks",A4 Gázové kompresy,11.33
70,Medicomp - kompresy nesterilné,"10x10 cm, á 100 ks",A4 Gázové kompresy,14.59
71,"Sterilux ES, 8-vrstvový, nesterilný","10x10cm, á 100 ks",A4 Gázové kompresy,3.56
72,vata buničitá vinutá nesterilná,1000 g,A5 Vata,2.42
73,vata obväzová vinutá nesterilná 100% bavlna,1000 g,A5 Vata,11.14
74,vata buničitá vinutá nesterilná,500 g,A5 Vata,1.06
75,vata obväzová vinutá nesterilná 100% bavlna,500 g,A5 Vata,3.57
76,vata buničitá strihaná nesterilná,"20x30 cm, á 500g",A5 Vata,3.73
77,"vata buničitá strihaná, nesterilná","20x30 cm, á 250 g",A5 Vata,14.64
78,"PUR-Zellin vata buničitá, stáčaná, delená","4x5 cm, 1 vrecká po 500 ks",A5 Vata,11.13
79,"Coverflex -  obväz pružný hadicový, končatiny","5cm, á 3 m",A6 Obväz hadičkový,9.5
80,Cotton Short Stretch,11cm x 4m,A6 Obväz hadičkový,2.14
81,"Coverflex -  obväz pružný hadicový, končatiny, hlava","7,5cm, á 3 m",A6 Obväz hadičkový,13.3
82,"Coverflex -  obväz pružný hadicový, končatiny, hlava, trup","10,7cm á 3 m",A6 Obväz hadičkový,8.74
83,"Idealtex elastický, dlhoťažný","8cmx5m, á 1ks",A7 Elastický obväz,6.69
84,BIFLEX MEDIUM 8cm x 5m,elastický dvojrozťažný kompresívny obväz s indikátorom správnej kompresie,A7 Elastický obväz,4.81
85,"Idealtex elastický, dlhoťažný","14cm x 5 m, 1 ks",A7 Elastický obväz,14.64
86,"Idealtex elastický, dlhoťažný","12cmx5 m, á 1 ks",A7 Elastický obväz,8.03
87,"Idealtex elastický, dlhoťažný","10cmx5m, á 1 ks",A7 Elastický obväz,6.31
88,BIFLEX MEDIUM 10cm x 5m,elastický dvojrozťažný kompresívny obväz s indikátorom správnej kompresie,A7 Elastický obväz,4.07
171,Hydrogél na ošetrenie rán Microdacyn,120g,A8 Pomôcky na vlhké hojenie  rán,6.23
172,Gél na ošetrenie rán Aqvitox -D,150 ml,A8 Pomôcky na vlhké hojenie  rán,7.2
173,Krytie na rany hydrogélové HydroTac transparent,"5x7,5 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,10.67
174,Hydrotul,"5x5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,1.98
175,Askina Transorbent,"5x7 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,3.59
176,Hydrosorb,"7,5 x 5 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,11.51
177,Hydrosorb,"10 x 10 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,14.11
178,Krytie na rany hydrogélové HydroTac transparent,"10x10 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,4.29
179,Askina Transorbent,"10x10 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,12.2
180,Suprasorb G kompresa,"10x10 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,13.15
181,Cutimed Sorbact Gel - krytie na rany antimikrobiálne s hydrogélom,"7,5 x 7,5 cm, á 10ks",A8 Pomôcky na vlhké hojenie  rán,11.73
182,Krytie na rany hydrogélové HydroTac transparent,"10x20 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,4.47
183,Krytie na rany hydrogélové HydroTac transparent,"20x20 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,11.51
184,Hydrotul,"15x20 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,7.59
185,Hydrotul,"10x12 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,8.13
186,Krytie na rany antimikrobiálne Cutimed Sorbact Gel,"7,5 x 15 cm, s hydrogélom",A8 Pomôcky na vlhké hojenie  rán,7.43
187,Krytie na rany hydrogélové HydroTac transparent Comfort,"6,5x10 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,9.7
188,Askina Transorbent Border,rozmery: 9x14cm vonkajší; 5x10cm vnútorný,A8 Pomôcky na vlhké hojenie  rán,9.9
189,Hydrosorb Comfort  lepiaci okraj,"7,5 x 10 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,14.54
