1290,Erelzi 50 mg injekčný roztok v naplnenom pere,2B,sol inj 4x1 ml/50 mg (pero napl.skl.),L04AB01,37,N,9.3
1291,EREVIT 300,1G,sol inj 5x1 ml (amp.skl.),A11HA03,22,N,8.96
1292,Erivedge 150 mg tvrdé kapsuly,O,cps dur 28x150 mg (fľ.HDPE),L01XX43,12,A,9.83
1293,Erleada 60 mg filmom obalené tablety,O,tbl flm 120x60 mg (blis.PVC/PCTFE/Al),L02BB05,95,N,10.79
1294,Erlotinib Mylan 150 mg,1G,tbl flm 30x150 mg (blis.Al/OPA/Al/PVC),L01XE03,99,N,11.41
1295,Erlotinib Sandoz 100 mg,1G,tbl flm 30x100 mg (blis.Al/OPA/Al/PVC),L01XE03,16,A,2.72
1296,Erlotinib Sandoz 150 mg,1G,tbl flm 30x150 mg (blis.Al/OPA/Al/PVC),L01XE03,18,N,12.16
1297,Erlotinib STADA 100 mg,1G,tbl flm 30x100 mg (blis.Al/OPA/Al/PVC),L01XE03,17,N,10.05
1298,Erlotinib STADA 150 mg,1G,tbl flm 30x150 mg (blis.Al/OPA/Al/PVC),L01XE03,86,N,5.19
1299,Erlotinib Teva B.V. 100 mg,1G,tbl flm 30x100 mg (blis. Al/PVC),L01XE03,91,A,6.38
1300,Erlotinib Teva B.V. 150 mg,1G,tbl flm 30x150 mg (blis. Al/PVC),L01XE03,17,N,8.35
1301,Erlotinib Vipharm 100 mg,1G,tbl flm 30x100 mg (blis.OPA/Al/PVC/Al),L01XE03,60,N,2.17
1302,Erlotinib Vipharm 150 mg,1G,tbl flm 30x150 mg (blis.OPA/Al/PVC/Al),L01XE03,49,A,4.42
1303,Erlotinib Zentiva 100 mg,2G,tbl flm 30x100 mg (blis.OPA/Al/PVC/Al),L01XE03,97,A,13.86
1304,Erlotinib Zentiva 150 mg,2G,tbl flm 30x150 mg (blis.OPA/Al/PVC/Al),L01XE03,100,N,9.03
1305,Erolin,1G,tbl 30x10 mg (blis.PVC/PVDC/Al),R06AX13,19,N,6.39
1306,ERYFLUID,O,sol der 1x100 ml (fľ.skl.hnedá),D10AF02,59,N,11.69
1307,Escitalopram Accord 10 mg filmom obalené tablety,1G,tbl flm 98x10 mg (blis.PVC/PE/PVDC/Al),N06AB10,50,N,2.09
1308,Escitalopram FARMAX 10 mg,2G,tbl flm 30x10 mg (blis.Al/Al),N06AB10,16,N,10.09
1309,Escitalopram FARMAX 10 mg,2G,tbl flm 60x10 mg (blis.Al/Al),N06AB10,3,N,7.64
1310,Escitalopram Mylan 10 mg,1G,tbl flm 28x10 mg (blis.PVC/PVDC/Al),N06AB10,69,N,7.42
1311,Escitalopram Teva 10 mg,1G,tbl flm 28x10 mg (blis.PVC/PVDC/Al),N06AB10,68,N,9.25
1312,Escitalopram Teva 10 mg,1G,tbl flm 56x10 mg (blis.PVC/PVDC/Al),N06AB10,28,N,11.04
1313,Escitil 10 mg,1G,tbl flm 28x10 mg (blis. OPA/Al/PVC/Al),N06AB10,83,N,3.9
1314,Escitil 10 mg,1G,tbl flm 56x10 mg (blis. OPA/Al/PVC/Al),N06AB10,34,A,4.12
1315,Escitil 15 mg,1G,tbl flm 56x15 mg (blis. OPA/Al/PVC/Al),N06AB10,65,N,8.44
1316,Escitil 20 mg,1G,tbl flm 28x20 mg (blis. OPA/Al/PVC/Al),N06AB10,27,A,6.33
1317,Eslibon 800 mg tablety,1G,tbl 30x800 mg (blis.PVC/Al-transparent.),N03AF04,50,N,6.31
1318,Esogno 1 mg filmom obalené tablety,O,tbl flm 7x1 mg (blis.PVC/PVDC/PVC/Al),N05CF04,17,N,12.2
1319,Esogno 3 mg filmom obalené tablety,O,tbl flm 28x3 mg (blis.PVC/PVDC/PVC/Al),N05CF04,21,A,5.13
1320,Esogno 3 mg filmom obalené tablety,O,tbl flm 7x3 mg (blis.PVC/PVDC/PVC/Al),N05CF04,30,A,10.32
1321,Esoprex 10 mg,1G,tbl flm 30x10 mg (blis. OPA/Al/PVC/Al),N06AB10,84,N,6.9
1322,Esoprex 10 mg,1G,tbl flm 60x10 mg (blis. OPA/Al/PVC/Al),N06AB10,51,A,11.61
1323,Esperoct 1000 IU prášok a rozpúšťadlo na injekčný roztok,O,plv iol 1x1000 IU + 1x4 ml solv. (liek.inj.skl.+striek.inj.napl.skl.),B02BD02,57,A,14.99
1324,Esperoct 1500 IU prášok a rozpúšťadlo na injekčný roztok,O,plv iol 1x1500 IU + 1x4 ml solv. (liek.inj.skl.+striek.inj.napl.skl.),B02BD02,76,N,14.36
1325,Esperoct 500 IU prášok a rozpúšťadlo na injekčný roztok,O,plv iol 1x500 IU + 1x4 ml solv. (liek.inj.skl.+striek.inj.napl.skl.),B02BD02,48,N,2.09
1326,ESPRITAL 30,1G,tbl flm 30x30 mg (blis.PVC/PVDC/Al),N06AX11,7,A,11.37
1327,ESPRITAL 45,1G,tbl flm 30x45 mg (blis.PVC/PVDC/Al),N06AX11,65,A,6.71
1328,ESTRACYT 140 mg,O,cps dur 100x140 mg (fľ.skl.hnedá),L01XX11,70,N,5.84
1329,Estrofem 1 mg,O,tbl flm 28x1 mg,G03CA03,3,A,9.6
1330,"Etoposid ""Ebewe"" 100 mg",1G,sol inf 1x5 ml/100 mg (liek.skl.hnedá),L01CB01,52,A,7.39
1331,"Etoposid ""Ebewe"" 200 mg",1G,sol inf 1x10 ml/200 mg (liek.skl.hnedá),L01CB01,74,N,9.01
1332,Etopozid Accord 20 mg/ml infúzny koncentrát,1G,con inf 1x5 ml/100 mg (liek.inj.skl.),L01CB01,10,N,3.12
1333,ETRUZIL,1G,"tbl flm 90x2,5 mg (blis.PVC/Al)",L02BG04,23,A,3.15
1334,Eucreas 50 mg/1000 mg filmom obalené tablety,O,tbl flm 60x50 mg/1000 mg (blis.PVC/PE/PVDC/Al),A10BD08,77,N,9.15
1335,Eucreas 50 mg/850 mg filmom obalené tablety,O,tbl flm 60x50 mg/850 mg (blis.PVC/PE/PVDC/Al),A10BD08,1,A,11.62
1336,EUPHYLLIN CR N 200,O,cps plg 50x200 mg (blis.PVC/PVDC/Al),R03DA04,89,N,5.21
1337,EUPHYLLIN CR N 300,O,cps plg 50x300 mg (blis.PVC/PVDC/Al),R03DA04,45,N,7.61
1338,EUPHYLLIN CR N 400,O,cps plg 50x400 mg (blis.PVC/PVDC/Al),R03DA04,74,N,4.74
1339,Euthyrox 100 mikrogramov,O,tbl 100x100 µg (blis.PVC/Al),H03AA01,75,A,12.97
1340,Euthyrox 112 mikrogramov,O,tbl 100x112 µg (blis.PVC/Al),H03AA01,96,N,6.67
1341,Euthyrox 125 mikrogramov,O,tbl 100x125 µg (blis.PVC/Al),H03AA01,100,A,8.28
1342,Euthyrox 137 mikrogramov,O,tbl 100x137 µg (blis.PVC/Al),H03AA01,67,N,7.92
1343,Euthyrox 150 mikrogramov,O,tbl 100x150 µg (blis.PVC/Al),H03AA01,23,N,4
1344,Euthyrox 200 mikrogramov,O,tbl 100x200 µg (blis.PVC/Al),H03AA01,96,N,10.77
1345,Euthyrox 25 mikrogramov,O,tbl 100x25 µg (blis.PVC/Al),H03AA01,61,N,12.42
1346,Euthyrox 50 mikrogramov,O,tbl 100x50 µg (blis.PVC/Al),H03AA01,91,A,2.4
