1,AVAXIM 160,92296
2,Bexsero vakcína proti meningokokom skupiny B,4431A
3,Boostrix Polio,45411
4,Boostrix,45368
5,Cervarix,45237
6,ENGERIX-B 10 µg,25093
7,ENGERIX-B 20 µg,25092
8,Fendrix,42652
9,Fluenz Tetra nosová suspenzná aerodisperzia,6372B
10,"FSME-IMMUN 0,25 ml Junior Injekčná suspenzia",23735
11,"FSME-IMMUN 0,5 ml Injekčná suspenzia",94989
12,Gardasil 9 injekčná suspenzia v napl.striekačke,4660B
13,HAVRIX 1440 Dosis adulta,25980
14,HAVRIX 720 Junior monodose,25982
15,Hexacima,5207A
16,IMOVAX RABIES VERO (VERORAB),93706
17,Infanrix hexa,34905
18,Infanrix Polio,1399
19,Influvac Tetra,6347C
20,M-M-RVAXPRO,36424
21,Nimenrix prášok a rozpúšťadlo na injekčný roztok,1135A
22,PNEUMOVAX 23,1010D
23,Prevenar 13,85035
24,PRIORIX,28654
25,Rotarix perorálna suspenzia,52849
26,RotaTeq perorálny roztok,35586
27,Synflorix,69867
28,TETRAXIM,0251C
29,Trumenba,4525C
30,"Twinrix Adult, injekčná suspenzia",41939
31,VAQTA 25 U,14675
32,VAQTA 50 U,14677
33,VARIVAX,95505
34,Vaxigrip Tetra,1224C
35,Vaxneuvance,9374D
