1,2025-02-10 11:12:13.122000,Daždivé,12.5,2025-02-10 11:42:13.122000,Oblačno
2,2025-02-10 11:12:13.794000,Slnečno,25,2025-02-10 12:12:13.794000,Horúco
3,2025-02-10 11:12:14.513000,Veterno,15,2025-02-10 11:57:14.513000,Chladno
446,2024-07-06 01:00:00.000000,Sucho,28.1,2024-07-06 09:03:00.000000,Slnečno
447,2024-03-01 01:00:00.000000,Polooblačno,5.6,2024-03-01 14:52:00.000000,Búrky
448,2024-08-28 01:00:00.000000,Horúčavy,38.3,2024-08-28 09:58:00.000000,Dusno
449,2024-04-23 01:00:00.000000,Búrky,19.2,2024-04-23 08:40:00.000000,Hmla
450,2024-06-20 01:00:00.000000,Slnečno,35,2024-06-20 11:01:00.000000,Horúčavy
451,2024-10-13 01:00:00.000000,Veterno,9.6,2024-10-13 17:12:00.000000,Zamračené
452,2024-12-14 01:00:00.000000,Husté sneženie,4.4,2024-12-14 06:55:00.000000,Poľadovica
453,2024-11-07 01:00:00.000000,Veterno,14.7,2024-11-07 06:56:00.000000,Zamračené
454,2024-03-11 01:00:00.000000,Prehánky,3.9,2024-03-11 14:03:00.000000,Polooblačno
455,2024-04-02 01:00:00.000000,Prehánky,7.4,2024-04-02 06:31:00.000000,Polooblačno
456,2024-04-24 01:00:00.000000,Búrky,2,2024-04-24 13:44:00.000000,Hmla
457,2024-11-23 01:00:00.000000,Daždivo,13.5,2024-11-23 12:44:00.000000,Veterno
458,2024-04-26 01:00:00.000000,Polooblačno,17.9,2024-04-26 08:59:00.000000,Búrky
459,2024-08-04 01:00:00.000000,Slnečno,28.3,2024-08-04 09:10:00.000000,Horúčavy
460,2024-09-17 01:00:00.000000,Zamračené,4.6,2024-09-17 13:08:00.000000,Mierne sneženie
461,2024-12-22 01:00:00.000000,Mráz,1.1,2024-12-22 07:19:00.000000,Husté sneženie
462,2024-09-03 01:00:00.000000,Zamračené,13,2024-09-03 07:23:00.000000,Mierne sneženie
463,2024-11-17 01:00:00.000000,Zamračené,5.6,2024-11-17 17:38:00.000000,Mierne sneženie
464,2024-02-20 01:00:00.000000,Zamračené,-2.4,2024-02-20 06:50:00.000000,Sneženie
465,2024-04-28 01:00:00.000000,Búrky,7.8,2024-04-28 10:37:00.000000,Hmla
466,2025-01-12 01:00:00.000000,Mráz,-8.2,2025-01-12 12:22:00.000000,Husté sneženie
467,2024-10-13 01:00:00.000000,Daždivo,12,2024-10-13 15:50:00.000000,Veterno
468,2024-04-19 01:00:00.000000,Hmla,5.1,2024-04-19 16:33:00.000000,Dážď
469,2024-07-30 01:00:00.000000,Horúčavy,18.1,2024-07-30 11:09:00.000000,Dusno
470,2024-08-24 01:00:00.000000,Sucho,24.9,2024-08-24 09:55:00.000000,Slnečno
471,2024-12-17 01:00:00.000000,Zamračené,1.4,2024-12-17 14:16:00.000000,Sneženie
472,2024-12-26 01:00:00.000000,Poľadovica,-4.8,2024-12-26 17:10:00.000000,Zamračené
473,2024-08-11 01:00:00.000000,Horúčavy,25.8,2024-08-11 15:23:00.000000,Dusno
474,2024-06-25 01:00:00.000000,Dusno,26.1,2024-06-25 14:51:00.000000,Letná búrka
475,2024-05-22 01:00:00.000000,Búrky,19.7,2024-05-22 13:52:00.000000,Hmla
476,2024-10-16 01:00:00.000000,Daždivo,14,2024-10-16 09:24:00.000000,Veterno
477,2024-10-25 01:00:00.000000,Zamračené,12.5,2024-10-25 14:53:00.000000,Mierne sneženie
478,2024-11-25 01:00:00.000000,Zamračené,4.6,2024-11-25 12:29:00.000000,Mierne sneženie
479,2025-02-02 01:00:00.000000,Sneženie,-5.1,2025-02-02 17:05:00.000000,Mráz
480,2024-09-12 01:00:00.000000,Veterno,2.1,2024-09-12 11:43:00.000000,Zamračené
481,2024-08-09 01:00:00.000000,Horúčavy,29.2,2024-08-09 07:21:00.000000,Dusno
482,2024-05-05 01:00:00.000000,Polooblačno,11.2,2024-05-05 15:35:00.000000,Búrky
483,2024-10-25 01:00:00.000000,Daždivo,9.6,2024-10-25 08:39:00.000000,Veterno
484,2024-08-10 01:00:00.000000,Horúčavy,30.4,2024-08-10 12:55:00.000000,Dusno
485,2024-04-10 01:00:00.000000,Dážď,10.5,2024-04-10 14:51:00.000000,Prehánky
486,2024-09-28 01:00:00.000000,Daždivo,14.1,2024-09-28 07:23:00.000000,Veterno
487,2024-09-21 01:00:00.000000,Daždivo,7.1,2024-09-21 11:03:00.000000,Veterno
488,2024-03-20 01:00:00.000000,Búrky,8.8,2024-03-20 08:57:00.000000,Hmla
489,2024-12-02 01:00:00.000000,Mráz,-11,2024-12-02 10:44:00.000000,Husté sneženie
490,2024-05-03 01:00:00.000000,Prehánky,13.3,2024-05-03 12:26:00.000000,Polooblačno
491,2024-05-19 01:00:00.000000,Prehánky,4.4,2024-05-19 16:42:00.000000,Polooblačno
492,2024-06-15 01:00:00.000000,Dusno,24.9,2024-06-15 07:05:00.000000,Letná búrka
493,2024-08-03 01:00:00.000000,Horúčavy,39.2,2024-08-03 16:15:00.000000,Dusno
494,2024-11-09 01:00:00.000000,Zamračené,3.2,2024-11-09 11:31:00.000000,Mierne sneženie
495,2024-04-15 01:00:00.000000,Prehánky,9.6,2024-04-15 16:20:00.000000,Polooblačno
496,2024-09-10 01:00:00.000000,Veterno,9.8,2024-09-10 13:25:00.000000,Zamračené
497,2025-01-22 01:00:00.000000,Poľadovica,-4.9,2025-01-22 07:20:00.000000,Zamračené
498,2024-07-04 01:00:00.000000,Sucho,16.1,2024-07-04 07:06:00.000000,Slnečno
499,2024-12-02 01:00:00.000000,Husté sneženie,-13.8,2024-12-02 07:51:00.000000,Poľadovica
500,2024-11-11 01:00:00.000000,Daždivo,3.4,2024-11-11 07:26:00.000000,Veterno
501,2025-01-09 01:00:00.000000,Zamračené,-0.8,2025-01-09 17:47:00.000000,Sneženie
502,2024-11-13 01:00:00.000000,Veterno,2.5,2024-11-13 12:33:00.000000,Zamračené
503,2025-02-01 01:00:00.000000,Husté sneženie,-13.9,2025-02-01 11:22:00.000000,Poľadovica
504,2024-02-23 01:00:00.000000,Mráz,-14.9,2024-02-23 15:10:00.000000,Husté sneženie
505,2024-09-04 01:00:00.000000,Hmla,14.6,2024-09-04 17:19:00.000000,Daždivo
506,2024-04-25 01:00:00.000000,Hmla,7.4,2024-04-25 10:44:00.000000,Dážď
507,2024-12-03 01:00:00.000000,Poľadovica,-11.9,2024-12-03 10:54:00.000000,Zamračené
508,2024-04-02 01:00:00.000000,Polooblačno,11.9,2024-04-02 15:41:00.000000,Búrky
509,2024-07-11 01:00:00.000000,Dusno,19.5,2024-07-11 12:34:00.000000,Letná búrka
510,2024-12-02 01:00:00.000000,Poľadovica,-5.8,2024-12-02 09:25:00.000000,Zamračené
511,2024-05-15 01:00:00.000000,Dážď,14.9,2024-05-15 11:36:00.000000,Prehánky
512,2024-06-15 01:00:00.000000,Horúčavy,32.7,2024-06-15 10:57:00.000000,Dusno
513,2024-03-01 01:00:00.000000,Dážď,5,2024-03-01 14:24:00.000000,Prehánky
514,2024-10-14 01:00:00.000000,Mierne sneženie,12.3,2024-10-14 12:19:00.000000,Hmla
515,2024-03-13 01:00:00.000000,Polooblačno,18.8,2024-03-13 09:26:00.000000,Búrky
516,2024-02-25 01:00:00.000000,Poľadovica,-11.1,2024-02-25 11:41:00.000000,Zamračené
